loan_id,product_type,region,fico_score,orig_amount,interest_rate,term_months,secured_flag
L100000,Personal Loan,Northeast,676,25099.0,0.1288,24,0
L100001,Auto Loan,Midwest,806,26574.0,0.1142,48,1
L100002,Home Improvement,South,675,18301.0,0.109,60,0
L100003,Auto Loan,Northeast,757,21189.0,0.1073,48,1
L100004,Home Improvement,Midwest,648,7409.0,0.0855,48,0
L100005,Personal Loan,Midwest,670,14958.0,0.0671,48,0
L100006,Home Improvement,West,622,22536.0,0.0788,48,0
L100007,Auto Loan,West,665,9946.0,0.1065,48,1
L100008,Auto Loan,Northeast,738,17406.0,0.1123,36,1
L100009,Personal Loan,Midwest,745,19653.0,0.1119,24,0
L100010,Auto Loan,Midwest,683,14887.0,0.1477,48,1
L100011,Personal Loan,West,687,13539.0,0.1136,60,0
L100012,Personal Loan,Northeast,683,23728.0,0.0728,48,0
L100013,Home Improvement,Midwest,649,20072.0,0.126,48,0
L100014,Home Improvement,Northeast,725,11985.0,0.0658,36,0
L100015,Auto Loan,Northeast,698,18826.0,0.0677,36,1
L100016,Home Improvement,Northeast,669,12203.0,0.134,48,0
L100017,Auto Loan,South,713,24761.0,0.0776,48,1
L100018,Personal Loan,Northeast,748,16503.0,0.1285,36,0
L100019,Auto Loan,Northeast,658,18537.0,0.0817,48,1
L100020,Auto Loan,West,632,11951.0,0.1009,36,1
L100021,Personal Loan,Northeast,743,26698.0,0.072,48,0
L100022,Home Improvement,South,620,9153.0,0.0749,48,0
L100023,Personal Loan,West,722,13667.0,0.1003,24,0
L100024,Auto Loan,Midwest,699,28813.0,0.1377,60,1
L100025,Home Improvement,Midwest,678,17568.0,0.144,24,0
L100026,Personal Loan,South,686,26270.0,0.099,36,0
L100027,Personal Loan,West,620,24081.0,0.1483,60,0
L100028,Auto Loan,Midwest,724,14310.0,0.0622,24,1
L100029,Personal Loan,Northeast,663,29626.0,0.0769,48,0
L100030,Personal Loan,Midwest,721,13883.0,0.1399,48,0
L100031,Personal Loan,West,681,27897.0,0.1356,48,0
L100032,Personal Loan,West,696,25936.0,0.0827,48,0
L100033,Personal Loan,Midwest,705,6529.0,0.0739,36,0
L100034,Personal Loan,Northeast,720,28928.0,0.0877,24,0
L100035,Personal Loan,West,731,21525.0,0.1152,36,0
L100036,Personal Loan,Northeast,689,15728.0,0.1396,60,0
L100037,Personal Loan,West,722,15701.0,0.0881,60,0
L100038,Personal Loan,Midwest,683,16351.0,0.0646,48,0
