loan_id,as_of_month,ending_balance,scheduled_payment,actual_payment,dpd,region,product_type,fico_score,secured_flag
L100000,2024-01-31,5110.75,153.32,153.32,0,Northeast,Personal Loan,676,0
L100001,2024-01-31,17552.32,526.57,526.57,0,Midwest,Auto Loan,806,1
L100002,2024-01-31,21347.51,640.43,640.43,0,South,Home Improvement,675,0
L100003,2024-01-31,20914.41,627.43,627.43,0,Northeast,Auto Loan,757,1
L100004,2024-01-31,19796.22,593.89,225.05,87,Midwest,Home Improvement,648,0
L100005,2024-01-31,21392.33,641.77,641.77,0,Midwest,Personal Loan,670,0
L100006,2024-01-31,2977.47,89.32,89.32,0,West,Home Improvement,622,0
L100007,2024-01-31,11370.99,341.13,341.13,0,West,Auto Loan,665,1
L100008,2024-01-31,14476.59,434.3,434.3,0,Northeast,Auto Loan,738,1
L100009,2024-01-31,21653.63,649.61,649.61,0,Midwest,Personal Loan,745,0
L100010,2024-01-31,18499.82,554.99,554.99,0,Midwest,Auto Loan,683,1
L100011,2024-01-31,11609.06,348.27,348.27,0,West,Personal Loan,687,0
L100012,2024-01-31,12949.06,388.47,388.47,0,Northeast,Personal Loan,683,0
L100013,2024-01-31,4530.42,135.91,135.91,0,Midwest,Home Improvement,649,0
L100014,2024-01-31,18373.37,551.2,551.2,0,Northeast,Home Improvement,725,0
L100015,2024-01-31,21858.55,655.76,655.76,0,Northeast,Auto Loan,698,1
L100016,2024-01-31,21929.47,657.88,657.88,0,Northeast,Home Improvement,669,0
L100017,2024-01-31,18320.67,549.62,549.62,0,South,Auto Loan,713,1
L100018,2024-01-31,20777.89,623.34,623.34,0,Northeast,Personal Loan,748,0
L100019,2024-01-31,18080.01,542.4,542.4,0,Northeast,Auto Loan,658,1
L100020,2024-01-31,14165.4,424.96,424.96,0,West,Auto Loan,632,1
L100021,2024-01-31,13593.08,407.79,407.79,0,Northeast,Personal Loan,743,0
L100022,2024-01-31,15658.97,469.77,469.77,0,South,Home Improvement,620,0
L100023,2024-01-31,22428.35,672.85,672.85,0,West,Personal Loan,722,0
L100024,2024-01-31,15331.5,459.95,459.95,0,Midwest,Auto Loan,699,1
L100025,2024-01-31,2584.99,77.55,77.55,0,Midwest,Home Improvement,678,0
L100026,2024-01-31,2926.95,87.81,87.81,0,South,Personal Loan,686,0
L100027,2024-01-31,9856.09,295.68,295.68,0,West,Personal Loan,620,0
L100028,2024-01-31,6355.44,190.66,190.66,0,Midwest,Auto Loan,724,1
L100029,2024-01-31,16840.16,505.2,505.2,0,Northeast,Personal Loan,663,0
L100030,2024-01-31,22161.21,664.84,664.84,0,Midwest,Personal Loan,721,0
L100031,2024-01-31,22407.17,672.22,672.22,0,West,Personal Loan,681,0
L100032,2024-01-31,9183.22,275.5,275.5,0,West,Personal Loan,696,0
L100033,2024-01-31,5316.5,159.49,159.49,0,Midwest,Personal Loan,705,0
L100034,2024-01-31,8704.59,261.14,169.16,43,Northeast,Personal Loan,720,0
L100035,2024-01-31,2217.91,66.54,66.54,0,West,Personal Loan,731,0
L100036,2024-01-31,7325.37,219.76,219.76,0,Northeast,Personal Loan,689,0
L100037,2024-01-31,24653.51,739.61,739.61,0,West,Personal Loan,722,0
L100038,2024-01-31,21642.06,649.26,649.26,0,Midwest,Personal Loan,683,0
L100039,2024-01-31,14321.3,429.64,429.64,0,South,Personal Loan,708,0
L100040,2024-01-31,13050.0,391.5,391.5,0,Midwest,Auto Loan,805,1
L100041,2024-01-31,2771.37,83.14,83.14,0,Midwest,Personal Loan,742,0
L100042,2024-01-31,2640.05,79.2,79.2,0,South,Personal Loan,724,0
L100043,2024-01-31,24541.43,736.24,736.24,0,West,Personal Loan,750,0
