loan_id,product_type,region,fico_score,orig_amount,interest_rate,term_months,secured_flag
L100000,Personal Loan,Northeast,703,16371.32,0.0807,48,0
L100001,Auto Loan,Midwest,726,16887.42,0.06,24,1
L100002,Personal Loan,Midwest,659,8645.02,0.0878,48,0
L100003,Personal Loan,West,697,14800.48,0.0817,60,0
L100004,Personal Loan,South,707,6072.11,0.0801,60,0
L100005,Personal Loan,Northeast,666,10704.25,0.0866,24,0
L100006,Personal Loan,West,724,5946.4,0.078,36,0
L100007,Home Improvement,Midwest,680,21082.56,0.0744,60,0
L100008,Auto Loan,West,629,16710.33,0.0746,48,1
L100009,Auto Loan,West,760,15254.26,0.06,36,1
L100010,Personal Loan,West,673,9195.84,0.0855,36,0
L100011,Personal Loan,Northeast,711,8428.48,0.0794,36,0
L100012,Auto Loan,South,717,15077.28,0.0605,36,1
L100013,Personal Loan,Midwest,732,16839.48,0.078,36,0
L100014,Auto Loan,West,695,22560.76,0.064,48,1
L100015,Personal Loan,Midwest,688,5418.57,0.0831,36,0
L100016,Personal Loan,Northeast,730,14572.91,0.078,36,0
L100017,Auto Loan,West,690,22412.52,0.0648,48,1
L100018,Home Improvement,West,620,19995.63,0.084,60,0
L100019,Personal Loan,South,719,16193.33,0.0782,24,0
L100020,Home Improvement,West,689,17105.58,0.073,48,0
L100021,Personal Loan,South,741,10882.94,0.078,48,0
L100022,Personal Loan,Northeast,747,6909.83,0.078,36,0
L100023,Auto Loan,West,784,19284.65,0.06,36,1
L100024,Personal Loan,West,722,6132.47,0.078,36,0
L100025,Personal Loan,West,750,13391.73,0.078,36,0
L100026,Personal Loan,Midwest,668,7583.87,0.0863,48,0
L100027,Auto Loan,South,689,21830.76,0.065,24,1
L100028,Personal Loan,Northeast,665,6269.7,0.0868,36,0
L100029,Personal Loan,West,795,5100.7,0.078,60,0
L100030,Auto Loan,South,772,17879.85,0.06,48,1
L100031,Home Improvement,Midwest,699,19948.36,0.0714,36,0
L100032,Personal Loan,Midwest,764,14505.75,0.078,48,0
L100033,Personal Loan,West,620,16985.39,0.094,36,0
L100034,Auto Loan,Midwest,711,15681.54,0.0614,36,1
L100035,Auto Loan,West,696,22527.64,0.0638,36,1
L100036,Auto Loan,Midwest,657,27911.42,0.0701,24,1
L100037,Auto Loan,South,756,22325.76,0.06,60,1
L100038,Personal Loan,South,747,12980.11,0.078,36,0
L100039,Auto Loan,Midwest,757,18057.06,0.06,48,1
L100040,Personal Loan,Midwest,728,9052.47,0.078,60,0
L100041,Personal Loan,West,679,13066.98,0.0846,36,0
L100042,Personal Loan,West,747,9421.85,0.078,48,0
L100043,Personal Loan,West,715,12887.88,0.0788,60,0
L100044,Auto Loan,South,701,14780.17,0.063,48,1
L100045,Personal Loan,West,722,11862.41,0.078,48,0
L100046,Home Improvement,West,640,8301.23,0.0808,60,0
L100047,Auto Loan,South,630,23739.46,0.0744,60,1
L100048,Personal Loan,South,652,17926.53,0.0889,48,0
L100049,Auto Loan,Northeast,724,23492.92,0.06,60,1
L100050,Personal Loan,Midwest,711,14081.24,0.0794,48,0
L100051,Personal Loan,West,691,6135.42,0.0826,36,0
L100052,Auto Loan,West,734,10517.44,0.06,24,1
L100053,Personal Loan,Northeast,708,6641.72,0.0799,36,0
L100054,Personal Loan,Northeast,635,17840.71,0.0916,48,0
L100055,Personal Loan,Northeast,675,6198.6,0.0852,48,0
L100056,Home Improvement,West,726,14919.1,0.068,48,0
L100057,Personal Loan,South,724,10501.32,0.078,60,0
L100058,Auto Loan,Midwest,727,13152.76,0.06,24,1
L100059,Personal Loan,Midwest,661,16627.99,0.0874,60,0
L100060,Auto Loan,Midwest,684,22299.81,0.0658,48,1
L100061,Auto Loan,Midwest,725,19212.51,0.06,60,1
L100062,Personal Loan,South,720,10675.03,0.078,36,0
L100063,Auto Loan,West,653,26367.61,0.0707,36,1
L100064,Personal Loan,South,647,7348.44,0.0897,36,0
L100065,Auto Loan,West,761,22135.23,0.06,24,1
L100066,Personal Loan,South,726,17683.76,0.078,36,0
L100067,Personal Loan,West,655,12896.76,0.0884,48,0
L100068,Personal Loan,South,683,11446.5,0.0839,36,0
L100069,Auto Loan,West,787,19230.83,0.06,48,1
L100070,Personal Loan,Midwest,692,6369.75,0.0825,60,0
L100071,Personal Loan,South,713,16804.62,0.0791,36,0
L100072,Personal Loan,West,683,11776.57,0.0839,36,0
L100073,Personal Loan,West,693,16635.3,0.0823,36,0
L100074,Personal Loan,Midwest,642,11080.4,0.0905,36,0
L100075,Auto Loan,Northeast,767,9984.67,0.06,60,1
L100076,Personal Loan,Midwest,687,7315.44,0.0833,60,0
L100077,Auto Loan,Midwest,738,21848.06,0.06,36,1
L100078,Personal Loan,Midwest,687,7679.75,0.0833,60,0
L100079,Personal Loan,Northeast,691,7105.86,0.0826,24,0
L100080,Home Improvement,Northeast,774,14233.25,0.068,60,0
L100081,Personal Loan,Midwest,724,9016.81,0.078,48,0
L100082,Personal Loan,Northeast,639,10315.43,0.091,36,0
L100083,Auto Loan,Midwest,716,9400.6,0.0606,24,1
L100084,Home Improvement,South,708,17773.42,0.0699,36,0
L100085,Home Improvement,West,728,20319.24,0.068,24,0
L100086,Auto Loan,Northeast,719,23616.15,0.0602,24,1
L100087,Home Improvement,Northeast,716,20758.4,0.0686,60,0
L100088,Personal Loan,South,766,16069.04,0.078,36,0
L100089,Personal Loan,South,659,14521.03,0.0878,24,0
L100090,Personal Loan,West,805,16146.13,0.078,60,0
L100091,Personal Loan,Northeast,807,14757.99,0.078,36,0
L100092,Personal Loan,West,671,16850.92,0.0858,36,0
L100093,Auto Loan,Northeast,646,16046.32,0.0718,36,1
L100094,Personal Loan,Northeast,713,9008.02,0.0791,48,0
