loan_id,as_of_month,ending_balance,scheduled_payment,actual_payment,dpd,region,product_type,fico_score,secured_flag
L100000,2024-01-31,13192.63,394.58,394.58,0,Northeast,Personal Loan,703,0
L100001,2024-01-31,2976.94,753.56,753.56,0,Midwest,Auto Loan,726,1
L100002,2024-01-31,854.66,217.58,217.58,0,Midwest,Personal Loan,659,0
L100003,2024-01-31,5191.7,292.23,292.23,0,West,Personal Loan,697,0
L100004,2024-01-31,2140.99,126.63,126.63,0,South,Personal Loan,707,0
L100005,2024-01-31,8510.14,480.92,480.92,0,Northeast,Personal Loan,666,0
L100006,2024-01-31,2194.3,181.23,72.49,66,West,Personal Loan,724,0
L100007,2024-01-31,10281.26,414.72,414.72,0,Midwest,Home Improvement,680,0
L100008,2024-01-31,5176.4,415.73,415.73,0,West,Auto Loan,629,1
L100009,2024-01-31,1441.01,469.35,422.42,0,West,Auto Loan,760,1
L100010,2024-01-31,29.92,299.19,269.27,0,West,Personal Loan,673,0
L100011,2024-01-31,1041.48,264.69,264.69,0,Northeast,Personal Loan,711,0
L100012,2024-01-31,7176.51,441.02,432.2,0,South,Auto Loan,717,1
L100013,2024-01-31,10603.16,541.79,541.79,0,Midwest,Personal Loan,732,0
L100014,2024-01-31,15739.39,521.08,510.66,0,West,Auto Loan,695,1
L100015,2024-01-31,168.85,170.01,170.01,0,Midwest,Personal Loan,688,0
L100016,2024-01-31,7164.29,446.51,446.51,0,Northeast,Personal Loan,730,0
L100017,2024-01-31,1079.71,544.24,544.24,0,West,Auto Loan,690,1
L100018,2024-01-31,6637.1,415.47,415.47,0,West,Home Improvement,620,0
L100019,2024-01-31,11972.02,707.05,707.05,0,South,Personal Loan,719,0
L100020,2024-01-31,4816.36,413.82,372.44,0,West,Home Improvement,689,0
L100021,2024-01-31,3903.97,257.7,257.7,0,South,Personal Loan,741,0
L100022,2024-01-31,846.78,214.06,209.78,0,Northeast,Personal Loan,747,0
L100023,2024-01-31,1247.26,598.17,538.35,0,West,Auto Loan,784,1
L100024,2024-01-31,4755.76,185.6,167.04,0,West,Personal Loan,722,0
L100025,2024-01-31,10170.72,424.65,382.18,0,West,Personal Loan,750,0
L100026,2024-01-31,6001.3,181.05,181.05,0,Midwest,Personal Loan,668,0
L100027,2024-01-31,3708.03,939.59,939.59,0,South,Auto Loan,689,1
L100028,2024-01-31,4883.69,199.77,199.77,0,Northeast,Personal Loan,665,0
L100029,2024-01-31,52.96,105.91,52.96,37,West,Personal Loan,795,0
L100030,2024-01-31,8047.72,404.65,404.65,0,South,Auto Loan,772,1
L100031,2024-01-31,11486.06,610.86,610.86,0,Midwest,Home Improvement,699,0
L100032,2024-01-31,1052.08,355.26,355.26,0,Midwest,Personal Loan,764,0
L100033,2024-01-31,4225.41,539.97,485.97,0,West,Personal Loan,620,0
L100034,2024-01-31,1822.6,461.49,461.49,0,Midwest,Auto Loan,711,1
L100035,2024-01-31,21574.03,693.06,623.75,0,West,Auto Loan,696,1
L100036,2024-01-31,14210.42,1227.52,1202.97,0,Midwest,Auto Loan,657,1
L100037,2024-01-31,6386.38,416.32,416.32,0,South,Auto Loan,756,1
L100038,2024-01-31,5286.36,408.93,204.46,33,South,Personal Loan,747,0
L100039,2024-01-31,4884.09,420.36,420.36,0,Midwest,Auto Loan,757,1
L100040,2024-01-31,0.01,183.87,183.87,0,Midwest,Personal Loan,728,0
L100041,2024-01-31,11332.86,407.97,399.81,0,West,Personal Loan,679,0
L100042,2024-01-31,8963.68,230.27,225.66,0,West,Personal Loan,747,0
L100043,2024-01-31,1291.87,263.49,263.49,0,West,Personal Loan,715,0
L100044,2024-01-31,7059.3,340.61,340.61,0,South,Auto Loan,701,1
L100045,2024-01-31,548.98,277.17,277.17,0,West,Personal Loan,722,0
L100046,2024-01-31,1265.85,163.06,163.06,0,West,Home Improvement,640,0
L100047,2024-01-31,18391.04,488.56,488.56,0,South,Auto Loan,630,1
L100048,2024-01-31,437.06,440.31,440.31,0,South,Personal Loan,652,0
L100049,2024-01-31,4854.08,454.63,454.63,0,Northeast,Auto Loan,724,1
L100050,2024-01-31,12606.64,352.08,352.08,0,Midwest,Personal Loan,711,0
L100051,2024-01-31,5898.71,194.53,175.08,0,West,Personal Loan,691,0
L100052,2024-01-31,497.66,454.47,409.02,0,West,Auto Loan,734,1
L100053,2024-01-31,1659.91,213.75,213.75,0,Northeast,Personal Loan,708,0
L100054,2024-01-31,3812.66,439.96,439.96,0,Northeast,Personal Loan,635,0
L100055,2024-01-31,2853.82,146.76,146.76,0,Northeast,Personal Loan,675,0
L100056,2024-01-31,5538.55,342.66,342.66,0,West,Home Improvement,726,0
L100057,2024-01-31,9304.48,218.05,196.24,0,South,Personal Loan,724,0
L100058,2024-01-31,3396.37,576.01,576.01,0,Midwest,Auto Loan,727,1
L100059,2024-01-31,2612.46,333.05,299.74,0,Midwest,Personal Loan,661,0
L100060,2024-01-31,19963.65,533.45,533.45,0,Midwest,Auto Loan,684,1
L100061,2024-01-31,12451.55,369.45,369.45,0,Midwest,Auto Loan,725,1
L100062,2024-01-31,1338.31,340.03,0.0,79,South,Personal Loan,720,0
L100063,2024-01-31,23634.34,809.77,728.79,0,West,Auto Loan,653,1
L100064,2024-01-31,4822.16,228.98,228.98,0,South,Personal Loan,647,0
L100065,2024-01-31,19124.36,956.79,861.11,0,West,Auto Loan,761,1
L100066,2024-01-31,13397.89,542.2,531.36,0,South,Personal Loan,726,0
L100067,2024-01-31,6162.13,317.79,317.79,0,West,Personal Loan,655,0
L100068,2024-01-31,7382.91,363.23,363.23,0,South,Personal Loan,683,0
L100069,2024-01-31,3421.18,437.32,437.32,0,West,Auto Loan,787,1
L100070,2024-01-31,1727.95,129.88,129.88,0,Midwest,Personal Loan,692,0
L100071,2024-01-31,10215.67,522.51,522.51,0,South,Personal Loan,713,0
L100072,2024-01-31,8181.83,371.5,371.5,0,West,Personal Loan,683,0
L100073,2024-01-31,2995.08,511.23,511.23,0,West,Personal Loan,693,0
L100074,2024-01-31,5991.29,339.65,339.65,0,Midwest,Personal Loan,642,0
L100075,2024-01-31,1128.18,191.33,191.33,0,Northeast,Auto Loan,767,1
L100076,2024-01-31,5703.28,150.87,150.87,0,Midwest,Personal Loan,687,0
L100077,2024-01-31,11770.79,650.95,650.95,0,Midwest,Auto Loan,738,1
L100078,2024-01-31,6418.15,160.51,160.51,0,Midwest,Personal Loan,687,0
L100079,2024-01-31,325.42,327.67,327.67,0,Northeast,Personal Loan,691,0
L100080,2024-01-31,13350.2,270.72,0.0,94,Northeast,Home Improvement,774,0
L100081,2024-01-31,8115.92,212.68,212.68,0,Midwest,Personal Loan,724,0
L100082,2024-01-31,3896.58,337.98,304.18,0,Northeast,Personal Loan,639,0
L100083,2024-01-31,4546.84,425.98,425.98,0,Midwest,Auto Loan,716,1
L100084,2024-01-31,13214.61,529.92,519.32,0,South,Home Improvement,708,0
L100085,2024-01-31,5217.49,886.91,886.91,0,West,Home Improvement,728,0
L100086,2024-01-31,5020.46,1019.25,1019.25,0,Northeast,Auto Loan,719,1
L100087,2024-01-31,17441.29,416.52,416.52,0,Northeast,Home Improvement,716,0
L100088,2024-01-31,13353.6,489.57,440.61,0,South,Personal Loan,766,0
L100089,2024-01-31,8040.48,650.64,650.64,0,South,Personal Loan,659,0
L100090,2024-01-31,5700.09,318.1,286.29,0,West,Personal Loan,805,0
L100091,2024-01-31,7166.69,473.07,473.07,0,Northeast,Personal Loan,807,0
L100092,2024-01-31,12348.2,541.15,541.15,0,West,Personal Loan,671,0
L100093,2024-01-31,4246.39,486.05,486.05,0,Northeast,Auto Loan,646,1
L100094,2024-01-31,1521.08,223.06,223.06,0,Northeast,Personal Loan,713,0
L100095,2024-01-31,15257.31,516.79,506.45,0,West,Auto Loan,745,1
L100096,2024-01-31,3949.63,344.18,344.18,0,Midwest,Personal Loan,687,0
L100097,2024-01-31,3004.87,195.89,195.89,0,Midwest,Auto Loan,760,1
L100098,2024-01-31,4592.85,665.52,598.97,0,Midwest,Personal Loan,663,0
L100099,2024-01-31,13086.99,402.89,402.89,0,Northeast,Home Improvement,784,0
L100100,2024-01-31,10120.77,519.35,545.32,0,Northeast,Personal Loan,708,0
L100101,2024-01-31,1618.73,330.09,330.09,0,West,Personal Loan,720,0
L100102,2024-01-31,3475.95,111.1,99.99,0,Northeast,Personal Loan,716,0
L100103,2024-01-31,7508.44,309.12,309.12,0,South,Auto Loan,712,1
L100104,2024-01-31,2280.62,293.59,293.59,0,Northeast,Personal Loan,714,0
L100105,2024-01-31,11246.86,500.65,500.65,0,West,Auto Loan,693,1
L100106,2024-01-31,6743.99,424.6,424.6,0,South,Personal Loan,633,0
L100107,2024-01-31,14486.18,376.69,376.69,0,West,Auto Loan,706,1
L100108,2024-01-31,23539.76,506.48,496.35,0,West,Auto Loan,734,1
L100109,2024-01-31,10151.87,664.11,650.83,0,West,Auto Loan,677,1
L100110,2024-01-31,11066.98,422.28,443.39,0,South,Personal Loan,701,0
L100111,2024-01-31,2890.13,494.32,494.32,0,West,Personal Loan,649,0
L100112,2024-01-31,8410.99,229.87,225.27,0,West,Personal Loan,712,0
L100113,2024-01-31,10512.1,336.78,336.78,0,South,Personal Loan,733,0
L100114,2024-01-31,0.0,379.82,379.82,0,West,Personal Loan,777,0
L100115,2024-01-31,15052.39,462.18,415.96,0,West,Home Improvement,718,0
L100116,2024-01-31,12393.1,987.54,967.79,0,South,Auto Loan,697,1
L100117,2024-01-31,10127.28,509.22,509.22,0,South,Auto Loan,777,1
L100118,2024-01-31,2761.62,564.06,564.06,0,South,Personal Loan,679,0
L100119,2024-01-31,15284.43,390.86,390.86,0,Northeast,Personal Loan,673,0
L100120,2024-01-31,4420.98,308.04,301.88,0,West,Auto Loan,664,1
L100121,2024-01-31,13097.11,318.92,334.87,0,South,Personal Loan,664,0
L100122,2024-01-31,10047.71,472.38,472.38,0,Northeast,Personal Loan,711,0
L100123,2024-01-31,6369.86,354.58,354.58,0,West,Home Improvement,749,0
L100124,2024-01-31,18299.1,447.88,403.09,0,Midwest,Auto Loan,700,1
L100125,2024-01-31,10128.87,366.26,366.26,0,West,Auto Loan,695,1
L100126,2024-01-31,21609.39,731.23,658.11,0,Midwest,Auto Loan,712,1
L100127,2024-01-31,10773.02,799.16,799.16,0,Northeast,Auto Loan,714,1
L100128,2024-01-31,6578.27,566.17,566.17,0,West,Auto Loan,721,1
L100129,2024-01-31,10626.71,268.91,268.91,0,South,Home Improvement,646,0
L100130,2024-01-31,8370.23,552.51,552.51,59,South,Personal Loan,796,0
L100131,2024-01-31,11843.31,822.9,822.9,0,West,Auto Loan,704,1
L100132,2024-01-31,7122.75,297.39,267.65,0,West,Personal Loan,779,0
L100133,2024-01-31,7127.32,420.86,420.86,0,Northeast,Personal Loan,724,0
L100134,2024-01-31,504.22,254.1,254.1,0,South,Auto Loan,702,1
L100135,2024-01-31,3472.95,357.35,357.35,0,West,Auto Loan,703,1
L100136,2024-01-31,8854.94,406.76,366.08,0,South,Auto Loan,718,1
L100137,2024-01-31,2693.41,395.51,387.6,0,South,Personal Loan,632,0
L100138,2024-01-31,5886.6,181.41,177.78,0,West,Home Improvement,713,0
L100139,2024-01-31,8321.18,353.41,318.07,0,Midwest,Auto Loan,724,1
L100140,2024-01-31,12308.49,547.7,536.75,0,South,Auto Loan,690,1
L100141,2024-01-31,0.0,290.55,290.55,0,Midwest,Personal Loan,643,0
L100142,2024-01-31,5195.21,245.1,245.1,0,West,Personal Loan,689,0
